row_index,author_id,name,home_link,total_cost_usd,usage
129,gMUKVkkAAAAJ,Claudia Hauff,https://chauff.github.io/,0.0015709500000000002,"""CompletionUsage(completion_tokens=396, prompt_tokens=7530, total_tokens=7926, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=7530, image_tokens=0), num_sources_used=0)"""
130,TOZpJj8AAAAJ,Kwang Jun Ahn,https://nano-energy.ajou.ac.kr/nano-energy/professor/an-adjunct-professor.do?mode=view&empl_no=$cms$EwBmFYEYUgOWg&mngt_no=$cms$EwBgjALGLAzA7EA&uniCd=gg&deptCd=$cms$CIZQDALGYIyQrEA&cate=2,0.00148515,"""CompletionUsage(completion_tokens=98, prompt_tokens=7846, total_tokens=7944, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=7846, image_tokens=0), num_sources_used=0)"""
132,2V2CfHgAAAAJ,Qun Song,https://song-qun.github.io/,0.00036625000000000004,"""CompletionUsage(completion_tokens=309, prompt_tokens=1724, total_tokens=2033, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=1724, image_tokens=0), num_sources_used=0)"""
133,pg0E3_QAAAAJ,Yong-Ki Lee,http://home.sejong.ac.kr/~yongki2/1.html,0.00075015,"""CompletionUsage(completion_tokens=452, prompt_tokens=3286, total_tokens=3738, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=3286, image_tokens=0), num_sources_used=0)"""
138,08lbolYAAAAJ,Euisin Lee,https://dudunon.wixsite.com/cbnumnclab,0.0005576,"""CompletionUsage(completion_tokens=44, prompt_tokens=2798, total_tokens=2842, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=2798, image_tokens=0), num_sources_used=0)"""
139,tFX7OFcAAAAJ,Yooil Bae,https://sites.google.com/site/yooilbae/,0.0013832999999999999,"""CompletionUsage(completion_tokens=401, prompt_tokens=6034, total_tokens=6435, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=6034, image_tokens=0), num_sources_used=0)"""
143,0eE0m14AAAAJ,Peter Han,https://brotmanbaty.org/about/staff,0.00089,"""CompletionUsage(completion_tokens=44, prompt_tokens=4460, total_tokens=4504, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=4460, image_tokens=0), num_sources_used=0)"""
145,WizlrcAAAAAJ,Junsuk Oh,https://uclab.re.kr/jsoh.html,0.00373925,"""CompletionUsage(completion_tokens=169, prompt_tokens=18939, total_tokens=19108, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=18939, image_tokens=0), num_sources_used=0)"""
150,hq8STUoAAAAJ,Daeun Song,http://daeunsong.github.io/,0.0009712000000000001,"""CompletionUsage(completion_tokens=258, prompt_tokens=4331, total_tokens=4589, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=160, text_tokens=4331, image_tokens=0), num_sources_used=0)"""
152,Nh_5ogYAAAAJ,Satrajit Chatterjee,http://www.blif.org/~satrajit/,0.00037395,"""CompletionUsage(completion_tokens=280, prompt_tokens=1835, total_tokens=2115, completion_tokens_details=CompletionTokensDetails(accepted_prediction_tokens=0, audio_tokens=0, reasoning_tokens=0, rejected_prediction_tokens=0), prompt_tokens_details=PromptTokensDetails(audio_tokens=0, cached_tokens=887, text_tokens=1835, image_tokens=0), num_sources_used=0)"""
