author_id,author_names,affiliations
CJ8-pGIAAAAJ,Uiwon Hwang,"Assistant Professor, Computer Science and Engineering, Ewha Womans University"
wleS-UQAAAAJ,Dahuin Jung,"Assistant Professor, Computer Science and Engineering, Soongsil University"
6qTcgH0AAAAJ,Jungbeom Lee,Korea University
2dZmIYoAAAAJ,Hyun-Soo Choi,Seoul National University of Science and Technology
6qGppvkAAAAJ,Sungwon Kim,NVIDIA
j8qTMtoAAAAJ,Seongsik Park,Korea Institute of Science and Technology
xMRzdH0AAAAJ,Siwon Kim,Amazon AGI
jzzqxVIAAAAJ,Jihun Yi,Samsung Electronics
M8RX0MEAAAAJ,Chaehun Shin,Seoul National University
t8dVNNsAAAAJ,Byunggook Na,Samsung Advanced Institute of Technology
bkEwkiMAAAAJ,Ho Bae,Ewha Womans University
ovimNFsAAAAJ,Seijoon Kim,Samsung Advanced Institute of Technology
iowjmTwAAAAJ,Seunghyun Park,Soongsil University
4ojbJpoAAAAJ,Heeseung Kim,Seoul National University
8P9jE1cAAAAJ,Hanjoo Kim,Gauss Labs Inc.
LZP5k2cAAAAJ,Jisoo Mok,Daegu Gyeongbuk Institute of Science and Technology
3DSA90AAAAAJ,Sungwoong Kim,"Associate Professor, Korea University"
OZZJagIAAAAJ,Kyungjae Lee,Korea University
T3-0OQ8AAAAJ,Sungjoon Choi,Korea University
nzOsNBsAAAAJ,Ildoo Kim,Open Research
nimFSSEAAAAJ,Chiheon Kim,Research Scientist
7V7yNeoAAAAJ,Taesup Kim,"Assistant Professor, Seoul National University"
VEzNY_oAAAAJ,Songhwai Oh,"Department of Electrical and Computer Engineering, Seoul National University, Korea"
cHBGSE0AAAAJ,Hanbum Ko,Korea University
Pl95pGIAAAAJ,Hyungjoo Cho,Seoul National University
METPtcAAAAAJ,Hyun-seok Min,Tomocube
W4oOmZEAAAAJ,Hyokun Yun,Machine Learning Scientist at Amazon
aVfQYSsAAAAJ,Taehyun Yoon,UNIST
gQOKAggAAAAJ,Tomas Lozano-Perez,"Professor of Computer Science, MIT"
IcasIiwAAAAJ,Leslie Kaelbling,
dw3rEwgAAAAJ,Beomjoon Kim,Korea Advanced Institute of Science & Technology (KAIST)
m2rhgrkAAAAJ,SungYub Kim,Korea Advanced Institute of Science and Technology (KAIST)
HFiBSkgAAAAJ,Changhyun Kwon,"Department of Industrial and Systems Engineering, KAIST"
jxqygTgAAAAJ,Aigerim Bogyrbayeva,
t0uU3jAAAAAJ,Sanghoon Hong,Cinamon
kBsTE7AAAAAJ,Yong-Lae Park,"Professor of Mechanical Engineering, Seoul National University"
ugFNit4AAAAJ,Ming Lin,Distinguished University Professor of University of Maryland at College Park & Amazon
X08l_4IAAAAJ,Dinesh Manocha,"Distinguished University Professor, University of Maryland at College Park"
Bphl_fIAAAAJ,Sungroh Yoon,"Professor, Electrical and Computer Engineering & Artificial Intelligence, Seoul National University"
2dZmIYoAAAAJ,Hyun-Soo Choi,Seoul National University of Science and Technology
mQUusK0AAAAJ,Sunyoung Kwon,Pusan National University
