detail_path,university
/professor/6439/info/,"성균관대학교
            삼성융합의과학원"
/professor/10494/info/,"서울대학교
            전기·정보공학부"
/professor/10405/info/,"연세대학교
            기초의학교실"
/professor/8580/info/,"경북대학교
            전자공학부"
/professor/10501/info/,"UNIST
            에너지화학공학과"
/professor/10395/info/,"숙명여자대학교
            소프트웨어학부"
/professor/10502/info/,"서울대학교
            융합과학기술대학원"
/professor/10203/info/,"한국과학기술연구원
            생체재료연구센터"
/professor/10112/info/,"세종대학교
            바이오융합전공"
/professor/10241/info/,"고려대학교
            임상교실"
/professor/8400/info/,"광운대학교
            로봇학부"
/professor/10521/info/,"광운대학교
            로봇학부"
/professor/10519/info/,"광운대학교
            로봇학부"
/professor/9087/info/,"광운대학교
            로봇학부"
/professor/9273/info/,"광운대학교
            전자통신공학과"
/professor/4479/info/,"광운대학교
            소프트웨어학부"
/professor/10515/info/,"인하대학교
            제조혁신전문대학원"
/professor/10512/info/,"한국에너지공과대학교
            에너지공학부"
/professor/10520/info/,"광운대학교
            로봇학부"
/professor/5978/info/,"KAIST
            생명과학과"
/professor/9722/info/,"GIST
            환경·에너지공학과"
/professor/516/info/,"KAIST
            신소재공학과"
/professor/10513/info/,"한국에너지공과대학교
            에너지공학부"
