name,author_id,snippet,link,source
Sangkyun Lee,H9TufgYAAAAJ,"School of Cybersecurity, Korea University. Verified email at korea.ac.kr - Homepage · Artificial IntelligenceAI SecurityLarge-Scale Machine LearningDeep ...",https://scholar.google.com/citations?user=H9TufgYAAAAJ&hl=en,Google Scholar
Sangmin Han - Google 학술 검색,TbX3VCMAAAAJ,korea.ac.kr의 이메일 확인됨. Satellite communicationsWireless communications ... Deep Reinforcement Learning Approach for Age of Information ...,https://scholar.google.com/citations?user=TbX3VCMAAAAJ&hl=ko,Google Scholar
Kyoung Mu Lee,xnOKRZ4AAAAJ,"Gyeongsik MoonAssistant Professor, CSE, Korea UniversityVerified email at korea.ac.kr ... Enhanced deep residual networks for single image super-resolution.",https://scholar.google.com/citations?user=xnOKRZ4AAAAJ&hl=en,Google Scholar
Junsuk Rho,jdNQRH8AAAAJ,"Co-authors. View all. Trevon BadloeAssistant Professor, Korea University Sejong CampusVerified email at korea.ac.kr ... Deep learning enabled inverse design in ...",https://scholar.google.com/citations?user=jdNQRH8AAAAJ&hl=en,Google Scholar
Ijaz Ahmad,36_QizEAAAAJ,"Postdoc, Korea University - ‪‪Cited by 260‬‬ - ‪privacy-preserving deep‬ ... Verified email at korea.ac.kr - Homepage · privacy-preserving deep learning ...",https://scholar.google.com/citations?user=36_QizEAAAAJ&hl=en,Google Scholar
Wonshik Choi,vbnuUcwAAAAJ,"Department of physics, Korea university. Verified email at korea.ac.kr - Homepage · Physicsoptical physicsoptical microscopydeep-tissue imagingimaging through ...",https://scholar.google.com/citations?user=vbnuUcwAAAAJ&hl=en,Google Scholar
Taehyeong Kim - Google 학술 검색,2jZjFFQAAAAJ,"School of Industrial and Management Engineering, Korea University. korea.ac.kr의 이메일 확인됨 - 홈페이지 · Multimodal learningVision and Language ModelLarge ...",https://scholar.google.com/citations?user=2jZjFFQAAAAJ&hl=ko,Google Scholar
Minsang Kim - Google 학술 검색,fgpRsdgAAAAJ,Korea university. korea.ac.kr의 이메일 확인됨 - 홈페이지 · Machine LearningDeep LearningNLPLLMFoundation Models. 학술자료인용공동 저자. 제목. 정렬. 서지정보순 ...,https://scholar.google.com/citations?user=fgpRsdgAAAAJ&hl=ko,Google Scholar
Sanghyuk Chun - Google 학술 검색,4_uj0xcAAAAJ,Princeton University - ‪‪인용 횟수 14104번‬‬ - ‪Machine Learning‬ - ‪Deep Learning‬ ... Kyungjae LeeKorea Universitykorea.ac.kr의 이메일 확인됨.,https://scholar.google.com/citations?user=4_uj0xcAAAAJ&hl=ko,Google Scholar
Dongmin Lee - Google 학술 검색,eFLKeywAAAAJ,"Associate Professor, School of Civil, Environmental, Architectural Engineering, Korea University. korea.ac.kr의 이메일 확인됨 - 홈페이지.",https://scholar.google.com/citations?user=eFLKeywAAAAJ&hl=ko,Google Scholar
Buru Chang - Google 학술 검색,5Qa2Uw0AAAAJ,Junhyun LeeKorea Universitykorea.ac.kr의 이메일 확인됨.,https://scholar.google.com/citations?user=5Qa2Uw0AAAAJ&hl=ko,Google Scholar
